"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3726","TC04 - Verify Cluster Head Filter","","2026-07-19","passed","2026-07-19","","Partner Summary Filter","",""
"","3366","TC08 - Verify Home Coordinates Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","5445","TC12 - Verify SPOC Status Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","16350","TC01 - Verify Date Range Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","1426","TC03 - Verify Partner Type Filter","","2026-07-19","passed","2026-07-19","","Pre-Onboarding Filter Verification","",""
"","5598","TC10 - Verify Mobile Verified Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","2071","TC06 - Verify Field Officer Filter","","2026-07-19","passed","2026-07-19","","Pre-Onboarding Filter Verification","",""
"","2617","TC07 - Verify Status Filter","","2026-07-19","passed","2026-07-19","","Pre-Onboarding Filter Verification","",""
"","12057","TC01 - Verify Name Filter","","2026-07-19","passed","2026-07-19","","Pre-Onboarding Filter Verification","",""
"","5342","TC13 - Verify App Downloaded Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","1983","TC05 - Verify Cluster Head Filter","","2026-07-19","passed","2026-07-19","","Pre-Onboarding Filter Verification","",""
"","1345","TC02 - Verify Mobile Number Filter","","2026-07-19","passed","2026-07-19","","Pre-Onboarding Filter Verification","",""
"","3487","TC07 - Verify Field Officer Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","8709","TC05 - Create Partner Successfully","","2026-07-19","passed","2026-07-19","","Create Partner","",""
"","4538","TC06 - Verify Partner Type Filter","","2026-07-19","passed","2026-07-19","","Partner Summary Filter","",""
"","1540","TC02 - Verify Mobile OTP","","2026-07-19","passed","2026-07-19","","Create Partner","",""
"","5296","TC03 - Verify State Filter","","2026-07-19","passed","2026-07-19","","Partner Summary Filter","",""
"","3030","TC04 - Verify State Filter","","2026-07-19","passed","2026-07-19","","Pre-Onboarding Filter Verification","",""
"","3508","TC02 - Verify Last Updated Filter","","2026-07-19","passed","2026-07-19","","Partner Summary Filter","",""
"","6911","TC01 - Fill Basic Details","","2026-07-19","passed","2026-07-19","","Create Partner","",""
"","4327","TC03 - Fill Bank Details","","2026-07-19","passed","2026-07-19","","Create Partner","",""
"","5380","TC11 - Verify Platform Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","5225","TC09 - Verify Penny Drop Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","3615","TC02 - Verify Partner Type Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","7147","TC03 - Verify Partner Creation","","2026-07-19","passed","2026-07-19","","Create Pre-Onboarding Partner","",""
"","17266","TC01 - Fill Pre-Onboarding Form","","2026-07-19","passed","2026-07-19","","Create Pre-Onboarding Partner","",""
"","5847","TC03 - Verify Status Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","37878","TC04 - Upload KYC Documents","","2026-07-19","passed","2026-07-19","","Create Partner","",""
"","3034","TC05 - Verify District Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","5213","TC05 - Verify Field Officer Filter","","2026-07-19","passed","2026-07-19","","Partner Summary Filter","",""
"","346","TC02 - Submit Form","","2026-07-19","passed","2026-07-19","","Create Pre-Onboarding Partner","",""
"","5815","TC06 - Verify Cluster Head Filter","","2026-07-19","passed","2026-07-19","","Partner Filter","",""
"","85","TC06 - Verify URL contains  after applying filter","","2026-07-19","passed","2026-07-19","","Partner Summary Filter","",""
