"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18340","TC01 - Verify Name Filter","","2026-07-13","passed","2026-07-13","","Pre-Onboarding Filter Verification","",""
"","4717","TC05 - Verify District Filter","","2026-07-13","passed","2026-07-13","","Partner Filter","",""
"","3337","TC05 - Create Partner Successfully","","2026-07-13","failed","2026-07-13","","Create Partner","",""
"","2639","TC02 - Verify Mobile OTP","","2026-07-13","passed","2026-07-13","","Create Partner","",""
"","3655","TC04 - Verify State Filter","","2026-07-13","passed","2026-07-13","","Pre-Onboarding Filter Verification","",""
"","2593","TC05 - Verify Cluster Head Filter","","2026-07-13","passed","2026-07-13","","Pre-Onboarding Filter Verification","",""
"","655","TC02 - Submit Form","","2026-07-13","passed","2026-07-13","","Create Pre-Onboarding Partner","",""
"","7254","TC06 - Verify Cluster Head Filter","","2026-07-13","passed","2026-07-13","","Partner Filter","",""
"","4918","TC08 - Verify Home Coordinates Filter","","2026-07-13","passed","2026-07-13","","Partner Filter","",""
"","6908","TC09 - Verify Penny Drop Filter","","2026-07-13","passed","2026-07-13","","Partner Filter","",""
"","14649","TC10 - Verify Mobile Verified Filter","","2026-07-13","failed","2026-07-13","","Partner Filter","",""
"","11432","TC01 - Fill Basic Details","","2026-07-13","passed","2026-07-13","","Create Partner","",""
"","2565","TC02 - Verify Mobile Number Filter","","2026-07-13","passed","2026-07-13","","Pre-Onboarding Filter Verification","",""
"","11733","TC03 - Fill Bank Details","","2026-07-13","passed","2026-07-13","","Create Partner","",""
"","6745","TC05 - Verify Field Officer Filter","","2026-07-13","passed","2026-07-13","","Partner Summary Filter","",""
"","8943","TC03 - Verify Partner Creation","","2026-07-13","passed","2026-07-13","","Create Pre-Onboarding Partner","",""
"","16989","TC12 - Verify SPOC Status Filter","","2026-07-13","failed","2026-07-13","","Partner Filter","",""
"","5189","TC07 - Verify Field Officer Filter","","2026-07-13","passed","2026-07-13","","Partner Filter","",""
"","22182","TC01 - Verify Date Range Filter","","2026-07-13","passed","2026-07-13","","Partner Filter","",""
"","19729","TC01 - Fill Pre-Onboarding Form","","2026-07-13","passed","2026-07-13","","Create Pre-Onboarding Partner","",""
"","71","TC06 - Verify URL contains  after applying filter","","2026-07-13","passed","2026-07-13","","Partner Summary Filter","",""
"","3723","TC03 - Verify Partner Type Filter","","2026-07-13","passed","2026-07-13","","Pre-Onboarding Filter Verification","",""
"","4665","TC02 - Verify Partner Type Filter","","2026-07-13","passed","2026-07-13","","Partner Filter","",""
"","7517","TC03 - Verify State Filter","","2026-07-13","passed","2026-07-13","","Partner Summary Filter","",""
"","10619","TC04 - Upload KYC Documents","","2026-07-13","failed","2026-07-13","","Create Partner","",""
"","2988","TC06 - Verify Field Officer Filter","","2026-07-13","passed","2026-07-13","","Pre-Onboarding Filter Verification","",""
"","13088","TC06 - Verify Partner Type Filter","","2026-07-13","failed","2026-07-13","","Partner Summary Filter","",""
"","4924","TC04 - Verify Cluster Head Filter","","2026-07-13","passed","2026-07-13","","Partner Summary Filter","",""
"","16752","TC11 - Verify Platform Filter","","2026-07-13","failed","2026-07-13","","Partner Filter","",""
"","5590","TC02 - Verify Last Updated Filter","","2026-07-13","passed","2026-07-13","","Partner Summary Filter","",""
"","8821","TC03 - Verify Status Filter","","2026-07-13","passed","2026-07-13","","Partner Filter","",""
"","3360","TC07 - Verify Status Filter","","2026-07-13","passed","2026-07-13","","Pre-Onboarding Filter Verification","",""
"","17131","TC13 - Verify App Downloaded Filter","","2026-07-13","failed","2026-07-13","","Partner Filter","",""
