"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2469","[14/202] Status & Redirection for /document/all","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","3501","[10/202] Status & Redirection for /center/centers-data","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","2525","[8/202] Status & Redirection for /after-disbursal/state-head-case-remarks","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","1915","[16/202] Status & Redirection for /finance-point/all","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","2396","[5/202] Status & Redirection for /acl/permissions/matrix","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","2006","[13/202] Status & Redirection for /docs/all-pending-docs","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","3054","[9/202] Status & Redirection for /audit/logs","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","2260","[1/202] Status & Redirection for /","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","2452","[12/202] Status & Redirection for /daily-target/all","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","2740","[6/202] Status & Redirection for /acl/roles","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","7847","TC01 - Verify Navigate to All Employee Account page","","2026-09-02","passed","2026-09-02","","HR Point - All Employee Account Filters & Creation","",""
"","1629","[2/202] Status & Redirection for /acl/menus","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","2111","[15/202] Status & Redirection for /export/all","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","4079","[11/202] Status & Redirection for /daily-target","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","1645","[3/202] Status & Redirection for /acl/permission","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","2254","[17/202] Status & Redirection for /fuel-incentive-configs","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","1863","[18/202] Status & Redirection for /hr-faq","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","1908","[4/202] Status & Redirection for /acl/permissions/management","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
"","9820","TC02 - Verify Name Filter","","2026-09-02","passed","2026-09-02","","HR Point - All Employee Account Filters & Creation","",""
"","2949","[7/202] Status & Redirection for /after-disbursal/critical-case-report-state-wise","","2026-09-02","passed","2026-09-02","","URL Redirection and Status Code Capture","",""
