"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","TC-1.2: Enforce Exactly One Primary Role per User (is_primary = 1)","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","1. Role Assignment & Management (DB Integrity)","",""
"","49","TC-4.3: Verify filtering users by Supportive Role correctly identifies multi-role users","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","4. User Listing, Filtering & Duplicate Row Prevention","",""
"","114","TC-4.2: Verify filtering users by Primary Role returns clean unique dataset","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","4. User Listing, Filtering & Duplicate Row Prevention","",""
"","58","TC-2.2: Verify direct user permissions in model_has_permissions extend role permissions","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","2. Permission / ACL Validation (Union & Overrides Formula)","",""
"","70","TC-1.3: Verify no assigned user is left without a primary role","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","1. Role Assignment & Management (DB Integrity)","",""
"","55","TC-4.1: Verify joins with model_has_roles on is_primary = 1 return unique user rows (no duplicates)","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","4. User Listing, Filtering & Duplicate Row Prevention","",""
"","94","TC-1.1: Verify model_has_roles table schema contains is_primary column","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","1. Role Assignment & Management (DB Integrity)","",""
"","104","TC-6.1: Verify primary role query determinism for FO-backend and finj-core auth sync","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","6. Auth Sync & FO-Backend Deterministic Primary Role Contract","",""
"","53","TC-3.2: Verify supportive roles (is_primary = 0) do not pollute primary role domain mapping","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","3. Primary vs Supportive Role Domain Behaviour (Level & Department Mapping)","",""
"","166","TC-3.1: Verify primary role determines user domain level and department category","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","3. Primary vs Supportive Role Domain Behaviour (Level & Department Mapping)","",""
"","133","TC-2.1: Verify Effective Permission Union formula across Primary + Supportive + Direct Permissions","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","2. Permission / ACL Validation (Union & Overrides Formula)","",""
"","99","TC-5.1: Verify user deactivation rule: User blocked only when ALL assigned roles are inactive (status = 0)","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","5. Role Deactivation & Status Rules","",""
"","90","TC-1.4: Verify backward compatibility for single-role users","ACL 2.0 Multi-Role: Pure Database Automation Test Suite","2026-08-27","passed","2026-08-27","","1. Role Assignment & Management (DB Integrity)","",""
