"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5203","TC10 - Should open filter drawer and apply filters in mobile view","HR Point - All Employee Account Filters & Creation","2026-09-21","passed","2026-09-21","","Mobile View - Employee Accounts Filter Drawer","",""
"","635","[54/202] Status & Redirection for /reports/lenderwise-lmtd-vs-mtd","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","455","[95/202] Status & Redirection for /reports/all-punch-point","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","471","[158/202] Status & Redirection for /payments/out-flow-confirm/{payment_detail}","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","564","[176/202] Status & Redirection for /transactions/payments","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","10495","TestCase 8.12: OPS Form - Select Tax Status (Valid)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 4: OPS Team - Ops Check Field Validations & Approval","",""
"","3121","TC07 - Verify Reset Filter","","2026-09-21","passed","2026-09-21","","TVS Dashboard Report","",""
"","2388","TC04 - Verify Product Category Filter","","2026-09-21","passed","2026-09-21","","Product Disbursal Report","",""
"","7232","TC01 - Verify Date Range Filter","","2026-09-21","passed","2026-09-21","","TVS Dashboard Report","",""
"","1484","TC04 - Verify Selecting Query Type Employee Referral activates Referral FAQ","","2026-09-21","passed","2026-09-21","","HR Point - Raise Query Creation & FAQ Verification","",""
"","10240","TestCase 9.17: Interest Rate - BVA Max Boundary (Exactly 30)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 5: Field Officer - Approved to Verification Pending Validations","",""
"","5781","TC06 - Verify Upload CV and Experience Documents file attachments","","2026-09-21","passed","2026-09-21","","HR Point - Referral Query Creation & Validation","",""
"","534","[134/202] Status & Redirection for /partner/create","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","11488","TestCase 1.10: Select State Dropdown (Uttar Pradesh)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","passed","2026-09-21","","Stage 1: Lead Creation & Step-by-Step Field Validations","",""
"","496","[91/202] Status & Redirection for /reports/lender-wise-report","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","2008","TestCase 4.7: KYC Details - Positive Validation (Fill valid PAN and Aadhaar)","Create Partner - Detailed End-to-End Validation Checks with Negative & Edge Cases","2026-09-21","passed","2026-09-21","","Stage 4: KYC (PAN & Aadhaar) Format & Boundary Validations","",""
"","10531","TestCase 8.11: OPS Form - Select Registration Status (Active)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 4: OPS Team - Ops Check Field Validations & Approval","",""
"","10210","TestCase 9.20: Select Loan Payment Account (Agrowheels)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 5: Field Officer - Approved to Verification Pending Validations","",""
"","2756","TC04 - Verify FO Role Filter","","2026-09-21","passed","2026-09-21","","FO Productivity Report","",""
"","638","[11/202] Status & Redirection for /daily-target","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","10333","TestCase 8.13: OPS Form - Select Challan (No)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 4: OPS Team - Ops Check Field Validations & Approval","",""
"","2819","TC18 - Filter Reset - Verifies list returns to default active state","","2026-09-21","passed","2026-09-21","","Partner Filter - Functional, Negative & Edge Case Validations","",""
"","1649","TC03 - Verify Selecting Query Type Attendance populates subcategories and activates Attendance FAQ","","2026-09-21","passed","2026-09-21","","HR Point - Raise Query Creation & FAQ Verification","",""
"","475","[195/202] Status & Redirection for /acl/delete/role/{id}","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","1105","TC05 - Negative/Edge: Gracefully handle invalid query parameters","","2026-09-21","passed","2026-09-21","","LMTD vs MTD Report Filters","",""
"","538","[36/202] Status & Redirection for /payouts/all","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","1584","TestCase 1.3: Partner Name - Boundary Value & Character Checks","Create Partner - Detailed End-to-End Validation Checks with Negative & Edge Cases","2026-09-21","passed","2026-09-21","","Stage 1: Basic Details & Mandatory Step Guard Validations","",""
"","4782","TC06 - Edge Case: Direct URL with Malformed Query Parameters","","2026-09-21","passed","2026-09-21","","FO Report - Functional, Negative & Edge Case Validations","",""
"","317","[156/202] Status & Redirection for /payments/out-flow-verify-{step}/{payment_detail}","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","671","TestCase 3.5: Enter Remark for Applicant","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","passed","2026-09-21","","Stage 1: Lead Creation & Step-by-Step Field Validations","",""
"","515","[139/202] Status & Redirection for /pdf/generate","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","962","TestCase 2.4: Monthly Files - Negative Validation (Negative number: -10)","Create Pre-Onboarding Partner - Detailed Validation Checks with Negative & Edge Cases","2026-09-21","passed","2026-09-21","","Stage 2: Mobile & Monthly Files Boundary Validations","",""
"","10219","TestCase 9.12: Tenure - BVA Max Boundary (Exactly 120)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 5: Field Officer - Approved to Verification Pending Validations","",""
"","1272","TestCase 1.7: Mobile Field - Negative Validation (Starts with digit 1-5)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","passed","2026-09-21","","Stage 1: Lead Creation & Step-by-Step Field Validations","",""
"","542","[168/202] Status & Redirection for /referrals/all","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","10256","TestCase 9.10: Tenure - Negative Validation (Above maximum: 121 > 120)","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 5: Field Officer - Approved to Verification Pending Validations","",""
"","10483","TestCase 8.5: OPS Form - Select RC Available","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 4: OPS Team - Ops Check Field Validations & Approval","",""
"","518","[105/202] Status & Redirection for /reports/fo-productivity","","2026-09-21","passed","2026-09-21","","URL Redirection and Status Code Capture","",""
"","2215","TC09 - Edge Case: Verify Reset Filter - Restores Default Funnel Table","","2026-09-21","passed","2026-09-21","","Lender Wise Funnel - Functional, Negative & Edge Case Validations","",""
"","10174","TestCase 5.2: Select FI Status","Complete Used Vehicle Lead Journey - Multi Role Flow with Detailed Validation Checks","2026-09-21","failed","2026-09-21","","Stage 2: FI Flow & FI to Login Stage Validations","",""
"","6088","TC08 - Verify Home Coordinates Filter","","2026-09-21","passed","2026-09-21","","Partner Filter - Functional, Negative & Edge Case Validations","",""
